geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
DOP 19-37-GBB-02 2019-04-12	38.098305	38.098305	-122.058037	-122.058037
DOP 19-37-LSC-01 2019-04-12	38.447651	38.447651	-121.594892	-121.594892
DOP 19-37-USC-01 2019-04-12	38.517664	38.517664	-121.584871	-121.584871
DOP 19-37-USC-02 2019-04-12	38.561101	38.561101	-121.559448	-121.559448
DOP 19-38-CSS-02 2019-04-15	38.236151	38.236151	-121.682484	-121.682484
DOP 19-38-CSS-03 2019-04-15	38.256202	38.256202	-121.689933	-121.689933
DOP 19-38-CSS-04 2019-04-15	38.251461	38.251461	-121.721964	-121.721964
DOP 19-38-GBB-01 2019-04-15	38.103964	38.103964	-122.038492	-122.038492
DOP 19-38-SBM-01 2019-04-15	38.048724	38.048724	-121.977528	-121.977528
DOP 19-38-SBW-01 2019-04-15	38.07819	38.07819	-122.085763	-122.085763
DOP 19-38-LSC-01 2019-04-16	38.281262	38.281262	-121.659806	-121.659806
DOP 19-38-LSC-02 2019-04-16	38.418496	38.418496	-121.608856	-121.608856
DOP 19-38-USC-01 2019-04-16	38.514963	38.514963	-121.584293	-121.584293
DOP 19-38-LSR-01 2019-04-17	38.071456	38.071456	-121.773925	-121.773925
DOP 19-38-RVV-01 2019-04-17	38.135229	38.135229	-121.694129	-121.694129
DOP 19-38-RVV-02 2019-04-17	38.099373	38.099373	-121.72869	-121.72869
DOP 19-38-CFF-01 2019-04-18	38.058455	38.058455	-121.849225	-121.849225
DOP 19-38-SMM-01 2019-04-18	38.076275	38.076275	-121.88292	-121.88292
DOP 19-38-SMM-02 2019-04-18	38.150983	38.150983	-121.917475	-121.917475
DOP 19-39-SMM-01 2019-04-22	38.182443	38.182443	-121.924393	-121.924393
DOP 19-39-SMM-02 2019-04-22	38.161852	38.161852	-122.046758	-122.046758
DOP 19-39-SMM-03 2019-04-22	38.171669	38.171669	-122.033325	-122.033325
DOP 19-39-CFF-01 2019-04-23	38.027463	38.027463	-121.834905	-121.834905
DOP 19-39-LSR-01 2019-04-23	38.061431	38.061431	-121.814612	-121.814612
DOP 19-39-SBM-01 2019-04-23	38.066547	38.066547	-121.98415	-121.98415
DOP 19-39-SBM-02 2019-04-23	38.064759	38.064759	-122.031649	-122.031649
