StationCode,SampleDate,Lat,Long
NZEZ6,2/10/2017,38.0633,-122.2721
NZEZ2,3/10/2017,38.0401,-122.1268
NZEZ6,3/10/2017,38.0285,-122.1601
NZEZ6,4/7/2017,38.0508,-122.09
NZEZ6,5/22/2017,38.0583,-122.0696
NZEZ2,6/19/2017,38.0534,-121.9406
NZEZ6,6/19/2017,38.0599,-121.99
NZEZ2,7/18/2017,38.0589,-121.8688
NZEZ6,7/18/2017,38.0529,-121.9404
NZEZ2,8/16/2017,38.0648,-121.8347
NZEZ6,8/16/2017,38.0463,-121.9183
NZEZ2,9/14/2017,38.0628,-121.8578
NZEZ6,9/14/2017,38.0552,-121.9473
NZEZ2,10/12/2017,38.0625,-121.8178
NZEZ6,10/12/2017,38.0486,-121.9034
NZEZ2,11/9/2017,38.0803,-121.76
NZEZ6,11/9/2017,38.0625,-121.8205
NZEZ2,12/8/2017,38.082,-121.7557
NZEZ6,12/8/2017,38.0625,-121.8205
NZEZ2SJR,12/11/2017,38.0279,-121.7481
NZEZ2,1/5/2018,38.0855,-121.7489
NZEZ6,1/5/2018,38.0663,-121.7855
NZEZ2SJR,1/8/2018,38.0472,-121.6944
NZEZ6SJR,1/8/2018,38.022,-121.8069
NZEZ2,2/8/2018,38.0622,-121.8208
NZEZ6,2/8/2018,38.0523,-121.883
NZEZ2,3/14/2018,38.0705,-121.7786
NZEZ6,3/14/2018,38.0645,-121.8354
NZEZ2,4/11/2018,38.0647,-122.0349
NZEZ6,4/11/2018,38.066,-122.0501
NZEZ2,5/10/2018,38.0485,-121.8947
NZEZ6,5/10/2018,38.056,-121.9537
NZEZ2,6/8/2018,38.0607,-121.8605
NZEZ6,6/8/2018,38.0479,-121.9282
NZEZ2,7/10/2018,38.0662,-121.7871
NZEZ6,7/10/2018,38.0594,-121.8665
NZEZ2SJR,7/19/2018,38.0262,-121.7792
NZEZ2SJR,8/3/2018,38.0213,-121.8064
NZEZ2,8/7/2018,38.067,-121.7816
NZEZ6,8/7/2018,38.0622,-121.8586
NZEZ2,9/13/2018,38.0864,-121.7468
NZEZ6,9/13/2018,38.0648,-121.8327
NZEZ2SJR,9/14/2018,38.0363,-121.706
NZEZ2,10/12/2018,38.1006,-121.726917
NZEZ6,10/12/2018,38.07755,-121.7634
NZEZ2SJR,10/15/2018,38.0523,-121.69015
NZEZ6SJR,10/15/2018,38.0212,-121.80683
NZEZ2,11/20/2018,38.1574,-121.6852
NZEZ6,11/20/2018,38.1241,-121.6988
NZEZ2,12/11/2018,38.0971,-121.7398
NZEZ6,12/11/2018,38.061,-121.8028
NZEZ2SJR,12/12/2018,38.0476,-121.6935
NZEZ2,1/10/2019,38.0611,-121.8118
NZEZ6,1/10/2019,38.0544,-121.8783
NZEZ2,2/21/2019,38.0375,-122.1653
NZEZ6,2/21/2019,38.0552,-122.1888
NZEZ2,3/15/2019,38.0512,-122.0917
NZEZ6,3/15/2019,38.0501,-122.0973
NZEZ2,4/15/2019,38.0552,-122.0753
NZEZ6,4/15/2019,38.0509,-122.0899
NZEZ2,5/14/2019,38.0615,-122.0644
NZEZ6,5/14/2019,38.0581,-122.0735
NZEZ2,6/11/2019,38.0614,-122.0181
NZEZ6,6/11/2019,38.0611,-122.0525
NZEZ2,7/11/2019,38.0483,-121.8857
NZEZ6,7/11/2019,38.057992,-121.99
NZEZ2SJR,8/6/2019,38.022825,-121.7934383
NZEZ2,8/8/2019,38.0627,-121.8167
NZEZ6,8/8/2019,38.04917333,-121.9144
NZEZ2,9/6/2019,38.0473,-121.8948
NZEZ6,9/6/2019,38.0588,-121.9733
NZEZ2,10/7/2019,38.06452,-121.8448
NZEZ6,10/7/2019,38.04868,-121.91683
NZEZ2,11/6/2019,38.0721,-121.7759
NZEZ6,11/6/2019,38.0651,-121.8351
NZEZ2SJR,12/4/2019,38.048365,-121.69404
NZEZ6SJR,12/4/2019,38.02215,-121.80324
NZEZ2,12/5/2019,38.08959,-121.73796
NZEZ6,12/5/2019,38.06985,-121.78013
NZEZ2,1/21/2020,38.077759,-121.76523
NZEZ6,1/21/2020,38.06237,-121.82613
NZEZ2SJR,2/13/2020,38.021948,-121.807064
NZEZ2,2/18/2020,38.060079,-121.80036
NZEZ6,2/18/2020,38.059939,-121.86548
NZEZ2,3/4/2020,38.07368,-121.773799
NZEZ6,3/4/2020,38.060229,-121.80856
NZEZ2SJR,6/10/2020,38.023519,-121.792511
NZEZ2,6/16/2020,38.06143,-121.81368
NZEZ6,6/16/2020,38.04806,-121.90425
NZEZ2SJR,7/9/2020,38.029741,-121.734071
NZEZ2,7/14/2020,38.06696,-121.783843
NZEZ6,7/14/2020,38.064738,-121.834588
NZEZ2SJR,8/10/2020,38.029611,-121.73094
NZEZ2,8/12/2020,38.06248,-121.8205
NZEZ6,8/12/2020,38.06248,-121.8205
NZEZ2SJR,9/8/2020,38.03732,-121.705785
NZEZ2,9/10/2020,38.077275,-121.765405
NZEZ6,9/10/2020,38.065545,-121.838168
NZEZ2SJR,10/7/2020,38.057063,-121.682638
NZEZ6SJR,10/7/2020,38.023836,-121.790288
NZEZ2,10/9/2020,38.104166,-121.720519
NZEZ6,10/9/2020,38.074626,-121.770251
NZEZ2SJR,11/5/2020,38.057883,-121.681983
NZEZ6SJR,11/5/2020,38.027666,-121.771483
NZEZ2,11/9/2020,38.126833,-121.697266
NZEZ6,11/9/2020,38.077516,-121.764583
NZEZ2SJR,12/4/2020,38.06115,-121.678678
NZEZ6SJR,12/4/2020,38.02749,-121.773295
NZEZ2SJR,3/4/2021,38.030686,-121.731283
NZEZ6SJR,3/4/2021,38.021991,-121.808295
NZEZ2,3/8/2021,38.09604,-121.7322
NZEZ6,3/8/2021,38.061623,-121.79877
NZEZ2SJR,4/2/2021,38.032085,-121.72593
NZEZ2,4/6/2021,38.08507,-121.74816
NZEZ6,4/6/2021,38.06419,-121.83295
NZEZ2SJR,5/4/2021,38.031206,-121.729148
NZEZ6SJR,5/4/2021,38.021786,-121.807883
NZEZ2,5/6/2021,38.11237,-121.710003
NZEZ6,5/6/2021,38.07082,-121.77607
NZEZ2SJR,6/2/2021,38.068776,-121.676246
NZEZ6SJR,6/2/2021,38.0276,-121.747466
NZEZ2,6/4/2021,38.119466,-121.702505
NZEZ6,6/4/2021,38.08346,-121.752523
NZEZ2SJR,7/15/2021,38.07761,-121.67781
NZEZ6SJR,7/15/2021,38.027831,-121.737378
NZEZ2,7/19/2021,38.131068,-121.69534
NZEZ6,7/19/2021,38.075715,-121.7693
NZEZ2SJR,8/13/2021,38.05285,-121.69022
NZEZ6SJR,8/13/2021,38.027165,-121.772003
NZEZ2,8/17/2021,38.128043,-121.693155
NZEZ6,8/17/2021,38.08646,-121.747308
NZEZ2SJR,9/13/2021,38.04009,-121.701
NZEZ6SJR,9/13/2021,38.021758,-121.805465
NZEZ2,9/14/2021,38.122918,-121.698
NZEZ6,9/14/2021,38.08508,-121.75202
NZEZ2SJR,10/14/2021,38.08708,-121.64324
NZEZ6SJR,10/14/2021,38.029127,-121.73276
NZEZ2,10/22/2021,38.139115,-121.691355
NZEZ6,10/22/2021,38.10786,-121.716202
NZEZ2SJR,11/9/2021,38.029807,-121.735195
NZEZ6,11/12/2021,38.060182,-121.805898
NZEZ2,11/12/2021,38.098425,-121.729988
NZEZ6SJR,12/9/2021,38.03,-121.720873
NZEZ2SJR,12/9/2021,38.046747,-121.694932
NZEZ6,12/13/2021,38.120932,-121.701958
